"ORDINAL_POSITION","COLUMN_NAME","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","NUMERIC_PRECISION","NUMERIC_SCALE","IS_NULLABLE"
"1","GAME_ID","int","","10","0","YES"
"2","VENUE_ID","int","","10","0","YES"
"3","CREATED_DATE","datetimeoffset","","","","YES"
"4","CREATE_USER","varchar","50","","","YES"
