"GAME_TYPE_ID","GAME_TYPE","CREATED_DATE","CREATE_USER"
"1","REG","15/10/2018 7:04:19 AM -04:00","mortimer"
"2","PST","15/10/2018 7:04:19 AM -04:00","mortimer"
